time,arpal_precipitation_mm,openmeteo_precipitation_mm,difference_mm,absolute_error_mm,severity
2014-10-08 20:00:00,41.4,0.6,40.8,40.8,Heavy
2014-10-09 06:00:00,42.0,1.2,40.8,40.8,Heavy
2014-10-09 07:00:00,23.8,1.8,22.0,22.0,Heavy
2014-10-09 08:00:00,53.0,2.6,50.4,50.4,Very Heavy
2014-10-09 18:00:00,21.4,1.5,19.9,19.9,Heavy
2014-10-09 19:00:00,30.0,1.0,29.0,29.0,Heavy
2014-10-09 20:00:00,135.0,1.3,133.7,133.7,Exceptional
2014-10-09 21:00:00,50.0,1.8,48.2,48.2,Very Heavy
2014-10-10 08:00:00,56.8,0.6,56.199999999999996,56.199999999999996,Very Heavy
2014-10-10 10:00:00,43.2,0.5,42.7,42.7,Heavy
2014-10-11 00:00:00,21.4,0.5,20.9,20.9,Heavy
2014-10-11 01:00:00,32.8,0.5,32.3,32.3,Heavy
