time,arpal_precipitation_mm,openmeteo_precipitation_mm,difference_mm,absolute_error_mm
2014-10-08 00:00:00,0.0,1.0,-1.0,1.0
2014-10-08 01:00:00,0.0,1.3,-1.3,1.3
2014-10-08 02:00:00,0.0,1.5,-1.5,1.5
2014-10-08 03:00:00,0.6,1.5,-0.9,0.9
2014-10-08 04:00:00,0.0,1.5,-1.5,1.5
2014-10-08 05:00:00,0.0,0.8,-0.8,0.8
2014-10-08 06:00:00,0.0,0.7,-0.7,0.7
2014-10-08 07:00:00,0.0,0.9,-0.9,0.9
2014-10-08 08:00:00,0.0,0.5,-0.5,0.5
2014-10-08 09:00:00,2.8,0.3,2.5,2.5
2014-10-08 10:00:00,6.6,0.4,6.199999999999999,6.199999999999999
2014-10-08 11:00:00,4.6,0.4,4.199999999999999,4.199999999999999
2014-10-08 12:00:00,0.0,0.5,-0.5,0.5
2014-10-08 13:00:00,0.0,0.6,-0.6,0.6
2014-10-08 14:00:00,0.0,0.5,-0.5,0.5
2014-10-08 15:00:00,0.0,0.2,-0.2,0.2
2014-10-08 16:00:00,0.0,0.8,-0.8,0.8
2014-10-08 17:00:00,0.0,0.3,-0.3,0.3
2014-10-08 18:00:00,0.0,0.3,-0.3,0.3
2014-10-08 19:00:00,7.2,0.4,6.8,6.8
2014-10-08 20:00:00,41.4,0.6,40.8,40.8
2014-10-08 21:00:00,8.2,0.5,7.699999999999999,7.699999999999999
2014-10-08 22:00:00,0.8,0.6,0.20000000000000007,0.20000000000000007
2014-10-08 23:00:00,0.6,0.6,0.0,0.0
2014-10-09 00:00:00,0.0,0.6,-0.6,0.6
2014-10-09 01:00:00,0.0,0.9,-0.9,0.9
2014-10-09 02:00:00,0.0,1.0,-1.0,1.0
2014-10-09 03:00:00,0.2,0.8,-0.6000000000000001,0.6000000000000001
2014-10-09 04:00:00,0.6,1.2,-0.6,0.6
2014-10-09 05:00:00,1.0,1.5,-0.5,0.5
2014-10-09 06:00:00,42.0,1.2,40.8,40.8
2014-10-09 07:00:00,23.8,1.8,22.0,22.0
2014-10-09 08:00:00,53.0,2.6,50.4,50.4
2014-10-09 10:00:00,0.0,3.4,-3.4,3.4
2014-10-09 11:00:00,0.0,3.8,-3.8,3.8
2014-10-09 12:00:00,0.0,3.5,-3.5,3.5
2014-10-09 13:00:00,0.0,3.2,-3.2,3.2
2014-10-09 14:00:00,4.0,2.2,1.7999999999999998,1.7999999999999998
2014-10-09 15:00:00,1.8,2.2,-0.40000000000000013,0.40000000000000013
2014-10-09 16:00:00,2.2,1.9,0.30000000000000027,0.30000000000000027
2014-10-09 17:00:00,18.0,1.3,16.7,16.7
2014-10-09 18:00:00,21.4,1.5,19.9,19.9
2014-10-09 19:00:00,30.0,1.0,29.0,29.0
2014-10-09 20:00:00,135.0,1.3,133.7,133.7
2014-10-09 21:00:00,50.0,1.8,48.2,48.2
2014-10-09 22:00:00,2.2,1.9,0.30000000000000027,0.30000000000000027
2014-10-09 23:00:00,0.2,1.5,-1.3,1.3
2014-10-10 00:00:00,1.0,1.7,-0.7,0.7
2014-10-10 01:00:00,0.0,1.7,-1.7,1.7
2014-10-10 02:00:00,0.0,1.7,-1.7,1.7
2014-10-10 03:00:00,0.0,1.7,-1.7,1.7
2014-10-10 04:00:00,3.0,1.4,1.6,1.6
2014-10-10 05:00:00,4.0,1.0,3.0,3.0
2014-10-10 06:00:00,1.4,0.9,0.4999999999999999,0.4999999999999999
2014-10-10 07:00:00,3.8,0.8,3.0,3.0
2014-10-10 08:00:00,56.8,0.6,56.199999999999996,56.199999999999996
2014-10-10 09:00:00,16.0,1.1,14.9,14.9
2014-10-10 10:00:00,43.2,0.5,42.7,42.7
2014-10-10 11:00:00,18.4,0.5,17.9,17.9
2014-10-10 12:00:00,16.8,0.6,16.2,16.2
2014-10-10 13:00:00,9.2,0.8,8.399999999999999,8.399999999999999
2014-10-10 14:00:00,0.0,0.5,-0.5,0.5
2014-10-10 15:00:00,0.0,1.0,-1.0,1.0
2014-10-10 16:00:00,0.0,1.7,-1.7,1.7
2014-10-10 17:00:00,0.0,1.9,-1.9,1.9
2014-10-10 18:00:00,0.0,1.6,-1.6,1.6
2014-10-10 19:00:00,0.0,1.5,-1.5,1.5
2014-10-10 20:00:00,0.0,1.8,-1.8,1.8
2014-10-10 22:00:00,0.0,0.5,-0.5,0.5
2014-10-10 23:00:00,0.0,0.4,-0.4,0.4
2014-10-11 00:00:00,21.4,0.5,20.9,20.9
2014-10-11 01:00:00,32.8,0.5,32.3,32.3
2014-10-11 02:00:00,2.0,0.7,1.3,1.3
2014-10-11 03:00:00,0.0,0.6,-0.6,0.6
2014-10-11 04:00:00,0.0,0.7,-0.7,0.7
2014-10-11 05:00:00,0.2,0.8,-0.6000000000000001,0.6000000000000001
2014-10-11 06:00:00,0.0,1.3,-1.3,1.3
2014-10-11 07:00:00,2.2,0.7,1.5000000000000002,1.5000000000000002
2014-10-11 08:00:00,0.0,0.4,-0.4,0.4
2014-10-11 09:00:00,0.0,0.1,-0.1,0.1
2014-10-11 10:00:00,0.0,0.2,-0.2,0.2
2014-10-11 14:00:00,0.0,0.9,-0.9,0.9
2014-10-11 15:00:00,0.0,0.6,-0.6,0.6
2014-10-11 16:00:00,0.0,0.9,-0.9,0.9
2014-10-11 18:00:00,0.0,0.3,-0.3,0.3
2014-10-11 19:00:00,0.0,0.6,-0.6,0.6
2014-10-11 20:00:00,0.0,0.3,-0.3,0.3
2014-10-11 21:00:00,0.0,0.2,-0.2,0.2
2014-10-11 22:00:00,0.0,0.1,-0.1,0.1
2014-10-11 23:00:00,0.0,0.2,-0.2,0.2
2014-10-12 00:00:00,0.0,0.3,-0.3,0.3
2014-10-12 01:00:00,0.0,0.3,-0.3,0.3
2014-10-12 02:00:00,0.2,0.1,0.1,0.1
2014-10-12 03:00:00,0.0,0.1,-0.1,0.1
2014-10-12 04:00:00,0.0,0.2,-0.2,0.2
2014-10-12 05:00:00,0.0,0.0,0.0,0.0
2014-10-12 06:00:00,0.0,0.1,-0.1,0.1
2014-10-12 07:00:00,0.0,0.0,0.0,0.0
2014-10-12 08:00:00,0.0,0.0,0.0,0.0
2014-10-12 09:00:00,0.0,0.0,0.0,0.0
2014-10-12 10:00:00,0.0,0.0,0.0,0.0
2014-10-12 11:00:00,0.0,0.0,0.0,0.0
2014-10-12 12:00:00,0.0,0.0,0.0,0.0
2014-10-12 14:00:00,0.0,0.0,0.0,0.0
2014-10-12 18:00:00,0.0,0.0,0.0,0.0
2014-10-12 21:00:00,0.2,0.1,0.1,0.1
2014-10-12 23:00:00,0.0,0.2,-0.2,0.2
