

"Stazione",GENOVA - GEIRATO
"Parametro",PRECIPITAZIONE - PRECIPITAZIONE CUMULATA (mm)

"Inizio rilevazione","Fine rilevazione","Valore","Dataset","Valido"
"08/10/2014 00:00","08/10/2014 01:00","0","Tutti i dati","Sì"
"08/10/2014 01:00","08/10/2014 02:00","0","Tutti i dati","Sì"
"08/10/2014 02:00","08/10/2014 03:00","0","Tutti i dati","Sì"
"08/10/2014 03:00","08/10/2014 04:00",".6","Tutti i dati","Sì"
"08/10/2014 04:00","08/10/2014 05:00","0","Tutti i dati","Sì"
"08/10/2014 05:00","08/10/2014 06:00","0","Tutti i dati","Sì"
"08/10/2014 06:00","08/10/2014 07:00","0","Tutti i dati","Sì"
"08/10/2014 07:00","08/10/2014 08:00","0","Tutti i dati","Sì"
"08/10/2014 08:00","08/10/2014 09:00","0","Tutti i dati","Sì"
"08/10/2014 09:00","08/10/2014 10:00","2.8","Tutti i dati","Sì"
"08/10/2014 10:00","08/10/2014 11:00","6.6","Tutti i dati","Sì"
"08/10/2014 11:00","08/10/2014 12:00","4.6","Tutti i dati","Sì"
"08/10/2014 12:00","08/10/2014 13:00","0","Tutti i dati","Sì"
"08/10/2014 13:00","08/10/2014 14:00","0","Tutti i dati","Sì"
"08/10/2014 14:00","08/10/2014 15:00","0","Tutti i dati","Sì"
"08/10/2014 15:00","08/10/2014 16:00","0","Tutti i dati","Sì"
"08/10/2014 16:00","08/10/2014 17:00","0","Tutti i dati","Sì"
"08/10/2014 17:00","08/10/2014 18:00","0","Tutti i dati","Sì"
"08/10/2014 18:00","08/10/2014 19:00","0","Tutti i dati","Sì"
"08/10/2014 19:00","08/10/2014 20:00","7.2","Tutti i dati","Sì"
"08/10/2014 20:00","08/10/2014 21:00","41.4","Tutti i dati","Sì"
"08/10/2014 21:00","08/10/2014 22:00","8.2","Tutti i dati","Sì"
"08/10/2014 22:00","08/10/2014 23:00",".8","Tutti i dati","Sì"
"08/10/2014 23:00","09/10/2014 00:00",".6","Tutti i dati","Sì"
"09/10/2014 00:00","09/10/2014 01:00","0","Tutti i dati","Sì"
"09/10/2014 01:00","09/10/2014 02:00","0","Tutti i dati","Sì"
"09/10/2014 02:00","09/10/2014 03:00","0","Tutti i dati","Sì"
"09/10/2014 03:00","09/10/2014 04:00",".2","Tutti i dati","Sì"
"09/10/2014 04:00","09/10/2014 05:00",".6","Tutti i dati","Sì"
"09/10/2014 05:00","09/10/2014 06:00","1","Tutti i dati","Sì"
"09/10/2014 06:00","09/10/2014 07:00","42","Tutti i dati","Sì"
