latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
44.46397,8.972392,11.0,7200,Europe/Rome,GMT+2

time,temperature_2m (°C),relative_humidity_2m (%),precipitation (mm),rain (mm),wind_speed_10m (km/h),pressure_msl (hPa)
2014-10-08T00:00,17.1,96,1.00,1.00,2.1,1017.4
2014-10-08T01:00,17.0,97,1.30,1.30,3.1,1017.8
2014-10-08T02:00,16.9,97,1.50,1.50,2.9,1017.9
2014-10-08T03:00,16.6,98,1.50,1.50,4.1,1017.4
2014-10-08T04:00,16.6,98,1.50,1.50,3.8,1017.2
2014-10-08T05:00,16.5,99,0.80,0.80,3.7,1017.0
2014-10-08T06:00,16.7,98,0.70,0.70,4.2,1016.7
2014-10-08T07:00,16.9,98,0.90,0.90,4.6,1017.0
2014-10-08T08:00,17.2,98,0.50,0.50,4.9,1017.2
2014-10-08T09:00,17.6,96,0.30,0.30,3.6,1017.8
2014-10-08T10:00,18.2,94,0.40,0.40,3.9,1018.1
2014-10-08T11:00,18.6,93,0.40,0.40,5.0,1018.5
2014-10-08T12:00,19.0,91,0.50,0.50,3.2,1018.7
2014-10-08T13:00,19.6,89,0.60,0.60,3.4,1018.4
2014-10-08T14:00,20.4,89,0.50,0.50,5.4,1017.7
2014-10-08T15:00,20.5,93,0.20,0.20,7.2,1017.3
2014-10-08T16:00,20.8,89,0.80,0.80,7.1,1016.9
2014-10-08T17:00,20.4,91,0.30,0.30,7.7,1016.9
2014-10-08T18:00,20.0,95,0.30,0.30,6.4,1017.0
2014-10-08T19:00,19.5,96,0.40,0.40,5.8,1017.0
2014-10-08T20:00,18.8,98,0.60,0.60,6.2,1017.4
2014-10-08T21:00,18.8,96,0.50,0.50,5.0,1017.4
2014-10-08T22:00,18.7,96,0.60,0.60,4.7,1017.7
2014-10-08T23:00,18.5,96,0.60,0.60,5.2,1017.6
2014-10-09T00:00,18.3,97,0.60,0.60,3.6,1018.0
2014-10-09T01:00,18.0,98,0.90,0.90,5.4,1017.9
2014-10-09T02:00,17.9,97,1.00,1.00,7.8,1017.9
2014-10-09T03:00,17.8,98,0.80,0.80,7.5,1017.3
2014-10-09T04:00,17.6,98,1.20,1.20,6.5,1017.0
2014-10-09T05:00,17.5,98,1.50,1.50,6.1,1016.8
2014-10-09T06:00,17.4,98,1.20,1.20,6.5,1016.5
2014-10-09T07:00,17.4,98,1.80,1.80,6.6,1016.7
